,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_data_index,param_kernel_name,param_mismatch_nb,param_seq_length_mm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
348,1.399006986618042,0.05468096870494305,0.19038786888122558,0.0022111792966432965,0.44,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.7625,0.8,0.7275,0.7675,0.7575,0.763,0.023151673805580458,225
349,1.4343366622924805,0.05978884535850598,0.2213313102722168,0.001025065550762904,0.44,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.775,0.805,0.7325,0.7625,0.76,0.767,0.02352658071203719,136
350,1.4648584842681884,0.06800413027051429,0.24996552467346192,0.0023489928672403753,0.44,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.7375,0.7625,0.755,0.7699999999999999,0.025690465157330245,53
351,1.5177080631256104,0.06271552338184205,0.2662467956542969,0.0022836690238570386,0.44,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.7875,0.8175,0.73,0.7675,0.755,0.7715,0.02960574268617493,36
352,1.2526564598083496,0.008350370932572827,0.05682778358459473,0.0006904318511262463,0.45,2,mismatch,"[1, 2]",[12],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12])}",0.695,0.75,0.6925,0.7225,0.7025,0.7125,0.021505813167606577,312
353,1.2688630104064942,0.012176551869018478,0.09875578880310058,0.004067317631516997,0.45,2,mismatch,"[1, 2]",[12 11],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11])}",0.745,0.785,0.7275,0.7775,0.7425,0.7555000000000001,0.021988633427296008,263
354,1.3096422672271728,0.012704111203655307,0.13663692474365235,0.004226234599612022,0.45,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.7675,0.7925,0.7425,0.7925,0.74,0.767,0.022934689882359416,136
355,1.3991153240203857,0.060601282502995076,0.1643749237060547,0.000873259340739079,0.45,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.7275,0.78,0.74,0.764,0.027138533490223816,208
356,1.4385029315948485,0.05891369811401139,0.19141287803649903,0.0022072803456519214,0.45,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.7625,0.8,0.725,0.7675,0.7575,0.7625,0.023926972228010816,231
357,1.4287413120269776,0.062382718258960114,0.22183833122253419,0.0037875124466530447,0.45,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.775,0.805,0.7325,0.7625,0.76,0.767,0.02352658071203719,136
358,1.4801013469696045,0.05987553981573939,0.2499028205871582,0.001943473200672801,0.45,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.735,0.7625,0.755,0.7695000000000001,0.02633438816452739,58
359,1.5011971473693848,0.062388261358728304,0.2644869327545166,0.000871672027634614,0.45,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.45, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.7875,0.8175,0.73,0.7675,0.755,0.7715,0.02960574268617493,36
360,1.240717840194702,0.007019747556496844,0.05594191551208496,0.00029543179508385707,0.46,2,mismatch,"[1, 2]",[12],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12])}",0.705,0.7575,0.6975,0.725,0.7,0.717,0.022438805672316868,310
361,1.2684749126434327,0.004625850737050101,0.0993417739868164,0.0027725703169487067,0.46,2,mismatch,"[1, 2]",[12 11],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11])}",0.745,0.7825,0.7275,0.7775,0.7425,0.755,0.021330729007701513,267
362,1.3124421119689942,0.042942747883489396,0.1313490867614746,0.0006643616080992691,0.46,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.7675,0.7925,0.7425,0.7925,0.74,0.767,0.022934689882359416,136
363,1.365761947631836,0.05992806149866758,0.16177096366882324,0.0014509064570432325,0.46,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.7275,0.78,0.74,0.764,0.027138533490223816,208
364,1.4207367897033691,0.05444947534234689,0.19000802040100098,0.0012700882288639883,0.46,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.7625,0.8,0.725,0.7675,0.7575,0.7625,0.023926972228010816,231
365,1.4312698364257812,0.05900453763522452,0.22213358879089357,0.0016427649277684973,0.46,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.775,0.805,0.735,0.7625,0.76,0.7674999999999998,0.022803508501982785,133
366,1.4863907814025878,0.05942592327210212,0.24953837394714357,0.0019011067860869645,0.46,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.735,0.7625,0.755,0.7695000000000001,0.02633438816452739,58
367,1.4996612071990967,0.057596720399833615,0.2660038471221924,0.002358810952912261,0.46,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.46, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.7875,0.8175,0.73,0.7675,0.755,0.7715,0.02960574268617493,36
368,1.2383175373077393,0.00858775404424384,0.056221961975097656,0.0005734487755759949,0.47000000000000003,2,mismatch,"[1, 2]",[12],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12])}",0.7,0.765,0.7025,0.73,0.705,0.7205,0.024718414188616564,305
369,1.260253620147705,0.0072427800270956745,0.09790515899658203,0.0018186570401584245,0.47000000000000003,2,mismatch,"[1, 2]",[12 11],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11])}",0.745,0.7825,0.7275,0.7775,0.7425,0.755,0.021330729007701513,267
370,1.2898295402526856,0.002567887066145637,0.13177804946899413,0.000989105219504241,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.7675,0.7925,0.7425,0.7925,0.74,0.767,0.022934689882359416,136
371,1.3678931713104248,0.06386456686863017,0.16124496459960938,0.0012627692661975655,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.725,0.7825,0.74,0.764,0.0281336097932704,208
372,1.3996041774749757,0.05691111179369525,0.1905892848968506,0.0010320500532234505,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.7625,0.8,0.725,0.7675,0.7575,0.7625,0.023926972228010816,231
373,1.4457895755767822,0.054968422287917096,0.21952366828918457,0.0021024869799035756,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.775,0.805,0.735,0.7625,0.76,0.7674999999999998,0.022803508501982785,133
374,1.4796066761016846,0.059613608086770555,0.2489548683166504,0.0015445159336805422,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.735,0.7625,0.755,0.7695000000000001,0.02633438816452739,58
375,1.50091495513916,0.0489593727180533,0.2666621685028076,0.0014439842168127858,0.47000000000000003,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.47000000000000003, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.7875,0.8175,0.7325,0.7675,0.7575,0.7725,0.0286356421265527,8
376,1.2478575229644775,0.016059033682562833,0.05655379295349121,0.0009424391121149645,0.48000000000000004,2,mismatch,"[1, 2]",[12],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12])}",0.7,0.7625,0.7025,0.735,0.71,0.722,0.023738154940938432,303
377,1.270693588256836,0.009192133784039932,0.0977135181427002,0.00044526479357463256,0.48000000000000004,2,mismatch,"[1, 2]",[12 11],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11])}",0.745,0.7825,0.7275,0.7775,0.7425,0.755,0.021330729007701513,267
378,1.2939609050750733,0.008816713137389983,0.1313871383666992,0.0005927596373297918,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.7675,0.7925,0.7425,0.7925,0.74,0.767,0.022934689882359416,136
379,1.3947980880737305,0.06485832849153589,0.16219019889831543,0.0022141242152554576,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.725,0.7825,0.74,0.764,0.0281336097932704,208
380,1.428573226928711,0.05945972379835735,0.19574337005615233,0.001526535976021319,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.7625,0.8,0.725,0.7675,0.7575,0.7625,0.023926972228010816,231
381,1.4680634498596192,0.06912656946446201,0.2233907699584961,0.001927324566403372,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.775,0.8025,0.735,0.7625,0.76,0.767,0.02198863342729603,136
382,1.488791275024414,0.052015254642149907,0.2523173809051514,0.0028945483346449383,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.7375,0.7625,0.755,0.7699999999999999,0.025690465157330245,53
383,1.5224210262298583,0.06555847980909857,0.2698939323425293,0.004141079498625706,0.48000000000000004,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.48000000000000004, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.7875,0.8175,0.7325,0.7675,0.7575,0.7725,0.0286356421265527,8
